Pretty Formula,A,B
LaSi,La3+,Si3-
LaP,La2+,P2-
LaP,La3+,P3-
LaS,La2+,S2-
LaCr,La2+,Cr2-
LaMn,La2+,Mn2-
LaMn,La3+,Mn3-
LaFe,La2+,Fe2-
LaGe,La2+,Ge2-
LaGe,La3+,Ge3-
LaAs,La3+,As3-
LaSe,La2+,Se2-
LaMo,La2+,Mo2-
LaRu,La2+,Ru2-
LaSb,La3+,Sb3-
LaTe,La2+,Te2-
LaW,La2+,W2-
LaRe,La3+,Re3-
LaOs,La2+,Os2-
LaIr,La3+,Ir3-
LaPt,La2+,Pt2-
LaBi,La3+,Bi3-
CeC,Ce2+,C2-
CeC,Ce3+,C3-
CeC,Ce4+,C4-
CeN,Ce2+,N2-
CeN,Ce3+,N3-
CeO,Ce2+,O2-
CeSi,Ce2+,Si2-
CeSi,Ce3+,Si3-
CeSi,Ce4+,Si4-
CeP,Ce2+,P2-
CeP,Ce3+,P3-
CeS,Ce2+,S2-
CeCr,Ce2+,Cr2-
CeMn,Ce2+,Mn2-
CeMn,Ce3+,Mn3-
CeFe,Ce2+,Fe2-
CeGe,Ce2+,Ge2-
CeGe,Ce3+,Ge3-
CeGe,Ce4+,Ge4-
CeAs,Ce3+,As3-
CeSe,Ce2+,Se2-
CeMo,Ce2+,Mo2-
CeRu,Ce2+,Ru2-
CeSn,Ce4+,Sn4-
CeSb,Ce3+,Sb3-
CeTe,Ce2+,Te2-
CeW,Ce2+,W2-
CeRe,Ce3+,Re3-
CeOs,Ce2+,Os2-
CeIr,Ce3+,Ir3-
CePt,Ce2+,Pt2-
CePb,Ce4+,Pb4-
CeBi,Ce3+,Bi3-
PrC,Pr2+,C2-
PrC,Pr3+,C3-
PrC,Pr4+,C4-
PrN,Pr2+,N2-
PrN,Pr3+,N3-
PrO,Pr2+,O2-
PrSi,Pr2+,Si2-
PrSi,Pr3+,Si3-
PrSi,Pr4+,Si4-
PrP,Pr2+,P2-
PrP,Pr3+,P3-
PrS,Pr2+,S2-
PrCr,Pr2+,Cr2-
PrMn,Pr2+,Mn2-
PrMn,Pr3+,Mn3-
PrFe,Pr2+,Fe2-
PrGe,Pr2+,Ge2-
PrGe,Pr3+,Ge3-
PrGe,Pr4+,Ge4-
PrAs,Pr3+,As3-
PrSe,Pr2+,Se2-
PrMo,Pr2+,Mo2-
PrRu,Pr2+,Ru2-
PrSn,Pr4+,Sn4-
PrSb,Pr3+,Sb3-
PrTe,Pr2+,Te2-
PrW,Pr2+,W2-
PrRe,Pr3+,Re3-
PrOs,Pr2+,Os2-
PrIr,Pr3+,Ir3-
PrPt,Pr2+,Pt2-
PrPb,Pr4+,Pb4-
PrBi,Pr3+,Bi3-
NdC,Nd2+,C2-
NdC,Nd3+,C3-
NdC,Nd4+,C4-
NdN,Nd2+,N2-
NdN,Nd3+,N3-
NdO,Nd2+,O2-
NdSi,Nd2+,Si2-
NdSi,Nd3+,Si3-
NdSi,Nd4+,Si4-
NdP,Nd2+,P2-
NdP,Nd3+,P3-
NdS,Nd2+,S2-
NdCr,Nd2+,Cr2-
NdMn,Nd2+,Mn2-
NdMn,Nd3+,Mn3-
NdFe,Nd2+,Fe2-
NdGe,Nd2+,Ge2-
NdGe,Nd3+,Ge3-
NdGe,Nd4+,Ge4-
NdAs,Nd3+,As3-
NdSe,Nd2+,Se2-
NdMo,Nd2+,Mo2-
NdRu,Nd2+,Ru2-
NdSn,Nd4+,Sn4-
NdSb,Nd3+,Sb3-
NdTe,Nd2+,Te2-
NdW,Nd2+,W2-
NdRe,Nd3+,Re3-
NdOs,Nd2+,Os2-
NdIr,Nd3+,Ir3-
NdPt,Nd2+,Pt2-
NdPb,Nd4+,Pb4-
NdBi,Nd3+,Bi3-
SmC,Sm2+,C2-
SmC,Sm3+,C3-
SmN,Sm2+,N2-
SmN,Sm3+,N3-
SmO,Sm2+,O2-
SmSi,Sm2+,Si2-
SmSi,Sm3+,Si3-
SmP,Sm2+,P2-
SmP,Sm3+,P3-
SmS,Sm2+,S2-
SmCr,Sm2+,Cr2-
SmMn,Sm2+,Mn2-
SmMn,Sm3+,Mn3-
SmFe,Sm2+,Fe2-
SmGe,Sm2+,Ge2-
SmGe,Sm3+,Ge3-
SmAs,Sm3+,As3-
SmSe,Sm2+,Se2-
SmMo,Sm2+,Mo2-
SmRu,Sm2+,Ru2-
SmSb,Sm3+,Sb3-
SmTe,Sm2+,Te2-
SmW,Sm2+,W2-
SmRe,Sm3+,Re3-
SmOs,Sm2+,Os2-
SmIr,Sm3+,Ir3-
SmPt,Sm2+,Pt2-
SmBi,Sm3+,Bi3-
EuC,Eu2+,C2-
EuC,Eu3+,C3-
EuN,Eu2+,N2-
EuN,Eu3+,N3-
EuO,Eu2+,O2-
EuSi,Eu2+,Si2-
EuSi,Eu3+,Si3-
EuP,Eu2+,P2-
EuP,Eu3+,P3-
EuS,Eu2+,S2-
EuCr,Eu2+,Cr2-
EuMn,Eu2+,Mn2-
EuMn,Eu3+,Mn3-
EuFe,Eu2+,Fe2-
EuGe,Eu2+,Ge2-
EuGe,Eu3+,Ge3-
EuAs,Eu3+,As3-
EuSe,Eu2+,Se2-
EuMo,Eu2+,Mo2-
EuRu,Eu2+,Ru2-
EuSb,Eu3+,Sb3-
EuTe,Eu2+,Te2-
EuW,Eu2+,W2-
EuRe,Eu3+,Re3-
EuOs,Eu2+,Os2-
EuIr,Eu3+,Ir3-
EuPt,Eu2+,Pt2-
EuBi,Eu3+,Bi3-
GdH,Gd1+,H1-
GdC,Gd1+,C1-
GdC,Gd2+,C2-
GdC,Gd3+,C3-
GdN,Gd1+,N1-
GdN,Gd2+,N2-
GdN,Gd3+,N3-
GdO,Gd1+,O1-
GdO,Gd2+,O2-
GdF,Gd1+,F1-
GdSi,Gd1+,Si1-
GdSi,Gd2+,Si2-
GdSi,Gd3+,Si3-
GdP,Gd1+,P1-
GdP,Gd2+,P2-
GdP,Gd3+,P3-
GdS,Gd1+,S1-
GdS,Gd2+,S2-
GdCl,Gd1+,Cl1-
GdTi,Gd1+,Ti1-
GdV,Gd1+,V1-
GdCr,Gd1+,Cr1-
GdCr,Gd2+,Cr2-
GdMn,Gd1+,Mn1-
GdMn,Gd2+,Mn2-
GdMn,Gd3+,Mn3-
GdFe,Gd1+,Fe1-
GdFe,Gd2+,Fe2-
GdCo,Gd1+,Co1-
GdNi,Gd1+,Ni1-
GdGe,Gd1+,Ge1-
GdGe,Gd2+,Ge2-
GdGe,Gd3+,Ge3-
GdAs,Gd3+,As3-
GdSe,Gd2+,Se2-
GdBr,Gd1+,Br1-
GdNb,Gd1+,Nb1-
GdMo,Gd1+,Mo1-
GdMo,Gd2+,Mo2-
GdRu,Gd2+,Ru2-
GdRh,Gd1+,Rh1-
GdSb,Gd3+,Sb3-
GdTe,Gd2+,Te2-
GdI,Gd1+,I1-
GdTa,Gd1+,Ta1-
GdW,Gd1+,W1-
GdW,Gd2+,W2-
GdRe,Gd1+,Re1-
GdRe,Gd3+,Re3-
GdOs,Gd1+,Os1-
GdOs,Gd2+,Os2-
GdIr,Gd1+,Ir1-
GdIr,Gd3+,Ir3-
GdPt,Gd1+,Pt1-
GdPt,Gd2+,Pt2-
GdAu,Gd1+,Au1-
GdTl,Gd1+,Tl1-
GdBi,Gd3+,Bi3-
TbH,Tb1+,H1-
TbC,Tb1+,C1-
TbC,Tb2+,C2-
TbC,Tb3+,C3-
TbC,Tb4+,C4-
TbN,Tb1+,N1-
TbN,Tb2+,N2-
TbN,Tb3+,N3-
TbO,Tb1+,O1-
TbO,Tb2+,O2-
TbF,Tb1+,F1-
TbSi,Tb1+,Si1-
TbSi,Tb2+,Si2-
TbSi,Tb3+,Si3-
TbSi,Tb4+,Si4-
TbP,Tb1+,P1-
TbP,Tb2+,P2-
TbP,Tb3+,P3-
TbS,Tb1+,S1-
TbS,Tb2+,S2-
TbCl,Tb1+,Cl1-
TbTi,Tb1+,Ti1-
TbV,Tb1+,V1-
TbCr,Tb1+,Cr1-
TbCr,Tb2+,Cr2-
TbMn,Tb1+,Mn1-
TbMn,Tb2+,Mn2-
TbMn,Tb3+,Mn3-
TbFe,Tb1+,Fe1-
TbFe,Tb2+,Fe2-
TbCo,Tb1+,Co1-
TbNi,Tb1+,Ni1-
TbGe,Tb1+,Ge1-
TbGe,Tb2+,Ge2-
TbGe,Tb3+,Ge3-
TbGe,Tb4+,Ge4-
TbAs,Tb3+,As3-
TbSe,Tb2+,Se2-
TbBr,Tb1+,Br1-
TbNb,Tb1+,Nb1-
TbMo,Tb1+,Mo1-
TbMo,Tb2+,Mo2-
TbRu,Tb2+,Ru2-
TbRh,Tb1+,Rh1-
TbSn,Tb4+,Sn4-
TbSb,Tb3+,Sb3-
TbTe,Tb2+,Te2-
TbI,Tb1+,I1-
TbTa,Tb1+,Ta1-
TbW,Tb1+,W1-
TbW,Tb2+,W2-
TbRe,Tb1+,Re1-
TbRe,Tb3+,Re3-
TbOs,Tb1+,Os1-
TbOs,Tb2+,Os2-
TbIr,Tb1+,Ir1-
TbIr,Tb3+,Ir3-
TbPt,Tb1+,Pt1-
TbPt,Tb2+,Pt2-
TbAu,Tb1+,Au1-
TbTl,Tb1+,Tl1-
TbPb,Tb4+,Pb4-
TbBi,Tb3+,Bi3-
DyC,Dy2+,C2-
DyC,Dy3+,C3-
DyC,Dy4+,C4-
DyN,Dy2+,N2-
DyN,Dy3+,N3-
DyO,Dy2+,O2-
DySi,Dy2+,Si2-
DySi,Dy3+,Si3-
DySi,Dy4+,Si4-
DyP,Dy2+,P2-
DyP,Dy3+,P3-
DyS,Dy2+,S2-
DyCr,Dy2+,Cr2-
DyMn,Dy2+,Mn2-
DyMn,Dy3+,Mn3-
DyFe,Dy2+,Fe2-
DyGe,Dy2+,Ge2-
DyGe,Dy3+,Ge3-
DyGe,Dy4+,Ge4-
DyAs,Dy3+,As3-
DySe,Dy2+,Se2-
DyMo,Dy2+,Mo2-
DyRu,Dy2+,Ru2-
DySn,Dy4+,Sn4-
DySb,Dy3+,Sb3-
DyTe,Dy2+,Te2-
DyW,Dy2+,W2-
DyRe,Dy3+,Re3-
DyOs,Dy2+,Os2-
DyIr,Dy3+,Ir3-
DyPt,Dy2+,Pt2-
DyPb,Dy4+,Pb4-
DyBi,Dy3+,Bi3-
HoC,Ho2+,C2-
HoC,Ho3+,C3-
HoN,Ho2+,N2-
HoN,Ho3+,N3-
HoO,Ho2+,O2-
HoSi,Ho2+,Si2-
HoSi,Ho3+,Si3-
HoP,Ho2+,P2-
HoP,Ho3+,P3-
HoS,Ho2+,S2-
HoCr,Ho2+,Cr2-
HoMn,Ho2+,Mn2-
HoMn,Ho3+,Mn3-
HoFe,Ho2+,Fe2-
HoGe,Ho2+,Ge2-
HoGe,Ho3+,Ge3-
HoAs,Ho3+,As3-
HoSe,Ho2+,Se2-
HoMo,Ho2+,Mo2-
HoRu,Ho2+,Ru2-
HoSb,Ho3+,Sb3-
HoTe,Ho2+,Te2-
HoW,Ho2+,W2-
HoRe,Ho3+,Re3-
HoOs,Ho2+,Os2-
HoIr,Ho3+,Ir3-
HoPt,Ho2+,Pt2-
HoBi,Ho3+,Bi3-
ErC,Er2+,C2-
ErC,Er3+,C3-
ErN,Er2+,N2-
ErN,Er3+,N3-
ErO,Er2+,O2-
ErSi,Er2+,Si2-
ErSi,Er3+,Si3-
ErP,Er2+,P2-
ErP,Er3+,P3-
ErS,Er2+,S2-
ErCr,Er2+,Cr2-
ErMn,Er2+,Mn2-
ErMn,Er3+,Mn3-
ErFe,Er2+,Fe2-
ErGe,Er2+,Ge2-
ErGe,Er3+,Ge3-
ErAs,Er3+,As3-
ErSe,Er2+,Se2-
ErMo,Er2+,Mo2-
ErRu,Er2+,Ru2-
ErSb,Er3+,Sb3-
ErTe,Er2+,Te2-
ErW,Er2+,W2-
ErRe,Er3+,Re3-
ErOs,Er2+,Os2-
ErIr,Er3+,Ir3-
ErPt,Er2+,Pt2-
ErBi,Er3+,Bi3-
TmC,Tm2+,C2-
TmC,Tm3+,C3-
TmN,Tm2+,N2-
TmN,Tm3+,N3-
TmO,Tm2+,O2-
TmSi,Tm2+,Si2-
TmSi,Tm3+,Si3-
TmP,Tm2+,P2-
TmP,Tm3+,P3-
TmS,Tm2+,S2-
TmCr,Tm2+,Cr2-
TmMn,Tm2+,Mn2-
TmMn,Tm3+,Mn3-
TmFe,Tm2+,Fe2-
TmGe,Tm2+,Ge2-
TmGe,Tm3+,Ge3-
TmAs,Tm3+,As3-
TmSe,Tm2+,Se2-
TmMo,Tm2+,Mo2-
TmRu,Tm2+,Ru2-
TmSb,Tm3+,Sb3-
TmTe,Tm2+,Te2-
TmW,Tm2+,W2-
TmRe,Tm3+,Re3-
TmOs,Tm2+,Os2-
TmIr,Tm3+,Ir3-
TmPt,Tm2+,Pt2-
TmBi,Tm3+,Bi3-
YbC,Yb2+,C2-
YbC,Yb3+,C3-
YbN,Yb2+,N2-
YbN,Yb3+,N3-
YbO,Yb2+,O2-
YbSi,Yb2+,Si2-
YbSi,Yb3+,Si3-
YbP,Yb2+,P2-
YbP,Yb3+,P3-
YbS,Yb2+,S2-
YbCr,Yb2+,Cr2-
YbMn,Yb2+,Mn2-
YbMn,Yb3+,Mn3-
YbFe,Yb2+,Fe2-
YbGe,Yb2+,Ge2-
YbGe,Yb3+,Ge3-
YbAs,Yb3+,As3-
YbSe,Yb2+,Se2-
YbMo,Yb2+,Mo2-
YbRu,Yb2+,Ru2-
YbSb,Yb3+,Sb3-
YbTe,Yb2+,Te2-
YbW,Yb2+,W2-
YbRe,Yb3+,Re3-
YbOs,Yb2+,Os2-
YbIr,Yb3+,Ir3-
YbPt,Yb2+,Pt2-
YbBi,Yb3+,Bi3-
LuC,Lu3+,C3-
LuN,Lu3+,N3-
LuSi,Lu3+,Si3-
LuP,Lu3+,P3-
LuMn,Lu3+,Mn3-
LuGe,Lu3+,Ge3-
LuAs,Lu3+,As3-
LuSb,Lu3+,Sb3-
LuRe,Lu3+,Re3-
LuIr,Lu3+,Ir3-
LuBi,Lu3+,Bi3-
HfC,Hf2+,C2-
HfC,Hf3+,C3-
HfC,Hf4+,C4-
HfN,Hf2+,N2-
HfN,Hf3+,N3-
HfO,Hf2+,O2-
HfSi,Hf2+,Si2-
HfSi,Hf3+,Si3-
HfSi,Hf4+,Si4-
HfP,Hf2+,P2-
HfP,Hf3+,P3-
HfS,Hf2+,S2-
HfCr,Hf2+,Cr2-
HfMn,Hf2+,Mn2-
HfMn,Hf3+,Mn3-
HfFe,Hf2+,Fe2-
HfGe,Hf2+,Ge2-
HfGe,Hf3+,Ge3-
HfGe,Hf4+,Ge4-
HfAs,Hf3+,As3-
HfSe,Hf2+,Se2-
HfMo,Hf2+,Mo2-
HfRu,Hf2+,Ru2-
HfSn,Hf4+,Sn4-
HfSb,Hf3+,Sb3-
HfTe,Hf2+,Te2-
HfW,Hf2+,W2-
HfRe,Hf3+,Re3-
HfOs,Hf2+,Os2-
HfIr,Hf3+,Ir3-
HfPt,Hf2+,Pt2-
HfPb,Hf4+,Pb4-
HfBi,Hf3+,Bi3-
TaC,Ta2+,C2-
TaC,Ta3+,C3-
TaC,Ta4+,C4-
TaN,Ta2+,N2-
TaN,Ta3+,N3-
TaO,Ta2+,O2-
TaSi,Ta2+,Si2-
TaSi,Ta3+,Si3-
TaSi,Ta4+,Si4-
TaP,Ta2+,P2-
TaP,Ta3+,P3-
TaS,Ta2+,S2-
TaCr,Ta2+,Cr2-
TaMn,Ta2+,Mn2-
TaMn,Ta3+,Mn3-
TaFe,Ta2+,Fe2-
TaGe,Ta2+,Ge2-
TaGe,Ta3+,Ge3-
TaGe,Ta4+,Ge4-
TaAs,Ta3+,As3-
TaSe,Ta2+,Se2-
TaMo,Ta2+,Mo2-
TaRu,Ta2+,Ru2-
TaSn,Ta4+,Sn4-
TaSb,Ta3+,Sb3-
TaTe,Ta2+,Te2-
TaW,Ta2+,W2-
TaRe,Ta3+,Re3-
TaOs,Ta2+,Os2-
TaIr,Ta3+,Ir3-
TaPt,Ta2+,Pt2-
TaPb,Ta4+,Pb4-
TaBi,Ta3+,Bi3-
HW,W1+,H1-
WC,W1+,C1-
WC,W2+,C2-
WC,W3+,C3-
WC,W4+,C4-
WN,W1+,N1-
WN,W2+,N2-
WN,W3+,N3-
WO,W1+,O1-
WO,W2+,O2-
WF,W1+,F1-
SiW,W1+,Si1-
SiW,W2+,Si2-
SiW,W3+,Si3-
SiW,W4+,Si4-
PW,W1+,P1-
PW,W2+,P2-
PW,W3+,P3-
WS,W1+,S1-
WS,W2+,S2-
WCl,W1+,Cl1-
FeW,W1+,Fe1-
FeW,W2+,Fe2-
CoW,W1+,Co1-
NiW,W1+,Ni1-
GeW,W1+,Ge1-
GeW,W2+,Ge2-
GeW,W3+,Ge3-
GeW,W4+,Ge4-
AsW,W3+,As3-
WSe,W2+,Se2-
WBr,W1+,Br1-
MoW,W1+,Mo1-
MoW,W2+,Mo2-
RuW,W2+,Ru2-
RhW,W1+,Rh1-
SnW,W4+,Sn4-
SbW,W3+,Sb3-
TeW,W2+,Te2-
WI,W1+,I1-
ReW,W1+,Re1-
ReW,W3+,Re3-
OsW,W1+,Os1-
OsW,W2+,Os2-
IrW,W1+,Ir1-
IrW,W3+,Ir3-
PtW,W1+,Pt1-
PtW,W2+,Pt2-
WAu,W1+,Au1-
TlW,W1+,Tl1-
PbW,W4+,Pb4-
BiW,W3+,Bi3-
ReH,Re1+,H1-
ReC,Re1+,C1-
ReC,Re2+,C2-
ReC,Re3+,C3-
ReC,Re4+,C4-
ReN,Re1+,N1-
ReN,Re2+,N2-
ReN,Re3+,N3-
ReO,Re1+,O1-
ReO,Re2+,O2-
ReF,Re1+,F1-
ReP,Re1+,P1-
ReP,Re2+,P2-
ReP,Re3+,P3-
ReS,Re1+,S1-
ReS,Re2+,S2-
ReCl,Re1+,Cl1-
ReNi,Re1+,Ni1-
ReGe,Re1+,Ge1-
ReGe,Re2+,Ge2-
ReGe,Re3+,Ge3-
ReGe,Re4+,Ge4-
ReAs,Re3+,As3-
ReSe,Re2+,Se2-
ReBr,Re1+,Br1-
ReMo,Re1+,Mo1-
ReMo,Re2+,Mo2-
ReRu,Re2+,Ru2-
ReRh,Re1+,Rh1-
ReSn,Re4+,Sn4-
ReSb,Re3+,Sb3-
ReTe,Re2+,Te2-
ReI,Re1+,I1-
ReOs,Re1+,Os1-
ReOs,Re2+,Os2-
ReIr,Re1+,Ir1-
ReIr,Re3+,Ir3-
RePt,Re1+,Pt1-
RePt,Re2+,Pt2-
ReAu,Re1+,Au1-
OsC,Os1+,C1-
OsC,Os2+,C2-
OsC,Os3+,C3-
OsC,Os4+,C4-
OsN,Os1+,N1-
OsN,Os2+,N2-
OsN,Os3+,N3-
OsO,Os1+,O1-
OsO,Os2+,O2-
OsF,Os1+,F1-
OsS,Os1+,S1-
OsS,Os2+,S2-
OsCl,Os1+,Cl1-
OsSe,Os2+,Se2-
OsBr,Os1+,Br1-
OsRh,Os1+,Rh1-
OsI,Os1+,I1-
OsAu,Os1+,Au1-
IrC,Ir1+,C1-
IrC,Ir2+,C2-
IrC,Ir3+,C3-
IrC,Ir4+,C4-
IrN,Ir1+,N1-
IrN,Ir2+,N2-
IrN,Ir3+,N3-
IrO,Ir1+,O1-
IrO,Ir2+,O2-
IrF,Ir1+,F1-
IrS,Ir1+,S1-
IrS,Ir2+,S2-
IrCl,Ir1+,Cl1-
IrSe,Ir2+,Se2-
IrBr,Ir1+,Br1-
IrRh,Ir1+,Rh1-
IrI,Ir1+,I1-
IrAu,Ir1+,Au1-
PtC,Pt1+,C1-
PtC,Pt2+,C2-
PtC,Pt3+,C3-
PtC,Pt4+,C4-
PtN,Pt1+,N1-
PtN,Pt2+,N2-
PtN,Pt3+,N3-
PtO,Pt1+,O1-
PtO,Pt2+,O2-
PtF,Pt1+,F1-
PtS,Pt1+,S1-
PtS,Pt2+,S2-
PtCl,Pt1+,Cl1-
PtSe,Pt2+,Se2-
PtBr,Pt1+,Br1-
PtRh,Pt1+,Rh1-
PtI,Pt1+,I1-
PtAu,Pt1+,Au1-
AuC,Au1+,C1-
AuC,Au2+,C2-
AuC,Au3+,C3-
AuN,Au1+,N1-
AuN,Au2+,N2-
AuN,Au3+,N3-
AuO,Au1+,O1-
AuO,Au2+,O2-
AuF,Au1+,F1-
AuS,Au1+,S1-
AuS,Au2+,S2-
AuCl,Au1+,Cl1-
AuSe,Au2+,Se2-
AuBr,Au1+,Br1-
AuI,Au1+,I1-
HgH,Hg1+,H1-
HgC,Hg1+,C1-
HgC,Hg2+,C2-
HgC,Hg4+,C4-
HgN,Hg1+,N1-
HgN,Hg2+,N2-
HgO,Hg1+,O1-
HgO,Hg2+,O2-
HgF,Hg1+,F1-
HgP,Hg1+,P1-
HgP,Hg2+,P2-
HgS,Hg1+,S1-
HgS,Hg2+,S2-
HgCl,Hg1+,Cl1-
NiHg,Hg1+,Ni1-
HgGe,Hg1+,Ge1-
HgGe,Hg2+,Ge2-
HgGe,Hg4+,Ge4-
HgSe,Hg2+,Se2-
HgBr,Hg1+,Br1-
HgMo,Hg1+,Mo1-
HgMo,Hg2+,Mo2-
HgRu,Hg2+,Ru2-
HgRh,Hg1+,Rh1-
SnHg,Hg4+,Sn4-
HgTe,Hg2+,Te2-
HgI,Hg1+,I1-
HgOs,Hg1+,Os1-
HgOs,Hg2+,Os2-
HgIr,Hg1+,Ir1-
HgPt,Hg1+,Pt1-
HgPt,Hg2+,Pt2-
HgAu,Hg1+,Au1-
TlH,Tl1+,H1-
TlC,Tl1+,C1-
TlC,Tl3+,C3-
TlN,Tl1+,N1-
TlN,Tl3+,N3-
TlO,Tl1+,O1-
TlF,Tl1+,F1-
TlSi,Tl1+,Si1-
TlSi,Tl3+,Si3-
TlP,Tl1+,P1-
TlP,Tl3+,P3-
TlS,Tl1+,S1-
TlCl,Tl1+,Cl1-
TlFe,Tl1+,Fe1-
TlCo,Tl1+,Co1-
TlNi,Tl1+,Ni1-
TlGe,Tl1+,Ge1-
TlGe,Tl3+,Ge3-
TlAs,Tl3+,As3-
TlBr,Tl1+,Br1-
TlMo,Tl1+,Mo1-
TlRh,Tl1+,Rh1-
TlSb,Tl3+,Sb3-
TlI,Tl1+,I1-
TlRe,Tl1+,Re1-
TlRe,Tl3+,Re3-
TlOs,Tl1+,Os1-
TlIr,Tl1+,Ir1-
TlIr,Tl3+,Ir3-
TlPt,Tl1+,Pt1-
TlAu,Tl1+,Au1-
TlBi,Tl3+,Bi3-
PbC,Pb2+,C2-
PbC,Pb4+,C4-
PbN,Pb2+,N2-
PbO,Pb2+,O2-
SiPb,Pb2+,Si2-
SiPb,Pb4+,Si4-
PPb,Pb2+,P2-
PbS,Pb2+,S2-
FePb,Pb2+,Fe2-
GePb,Pb2+,Ge2-
GePb,Pb4+,Ge4-
PbSe,Pb2+,Se2-
MoPb,Pb2+,Mo2-
RuPb,Pb2+,Ru2-
SnPb,Pb4+,Sn4-
TePb,Pb2+,Te2-
OsPb,Pb2+,Os2-
PtPb,Pb2+,Pt2-
BiH,Bi1+,H1-
BiC,Bi1+,C1-
BiC,Bi3+,C3-
BiN,Bi1+,N1-
BiN,Bi3+,N3-
BiO,Bi1+,O1-
BiF,Bi1+,F1-
BiP,Bi1+,P1-
BiP,Bi3+,P3-
BiS,Bi1+,S1-
BiCl,Bi1+,Cl1-
NiBi,Bi1+,Ni1-
GeBi,Bi1+,Ge1-
GeBi,Bi3+,Ge3-
BiAs,Bi3+,As3-
BiBr,Bi1+,Br1-
BiMo,Bi1+,Mo1-
BiRh,Bi1+,Rh1-
BiSb,Bi3+,Sb3-
BiI,Bi1+,I1-
BiOs,Bi1+,Os1-
BiIr,Bi1+,Ir1-
BiIr,Bi3+,Ir3-
BiPt,Bi1+,Pt1-
BiAu,Bi1+,Au1-
